Source.Name,Minutes,Camera 1,Camera 2,Camera 3,Camera 4,Camera 5,Camera 6,Camera 7,Camera 8,Camera 9,Reading Time
2015-11,0,999,999,999,999,999,999,999,999,999,0
2015-11,3,999,999,999,999,999,999,999,999,999,0
2015-11,6,999,999,999,999,999,999,999,999,999,0
2015-11,9,999,999,999,999,999,999,999,999,999,0
2015-11,12,999,999,999,999,999,999,999,999,999,0
2015-11,15,999,999,999,999,999,999,999,999,999,0
2015-11,18,999,999,999,999,999,999,999,999,999,0
2015-11,21,999,999,999,999,999,999,999,999,999,0
2015-11,25,999,999,999,999,999,999,999,999,999,0
2015-11,30,18,28,55,68,76,82,88,91,91,999
2015-12,0,1,1,3,4,4,3,8,7,999,0
2015-12,3,9,8,14,16,17,14,21,18,9,0
2015-12,6,16,21,999,999,999,999,999,999,999,0
2015-12,9,999,999,999,999,999,999,999,999,999,0
2015-12,12,999,999,999,999,999,999,999,999,999,0
2015-12,15,999,49,80,90,91,94,96,97,999,0
2015-12,18,24,999,999,999,999,999,999,999,999,0
2015-12,21,21,22,999,999,999,999,999,999,999,0
2015-12,25,19,999,999,999,999,999,999,999,999,0
2015-12,30,17,28,54,68,75,84,90,93,93,999
2015-13,0,1,1,2,2,3,2,7,7,999,0
2015-13,3,9,7,23,16,16,14,20,17,999,0
2015-13,6,16,28,999,999,999,999,999,999,999,0
2015-13,9,23,999,999,999,999,999,999,999,999,0
2015-13,12,999,999,999,999,999,999,999,999,999,0
2015-13,15,999,999,999,999,999,999,999,999,999,0
2015-13,18,24,999,999,999,999,999,999,999,999,0
2015-13,21,21,999,999,999,999,999,999,999,999,0
2015-13,25,19,999,999,999,999,999,999,999,999,0
2015-13,30,17,26,53,65,74,81,86,90,90,999
2015-14,0,0,1,7,7,8,9,12,9,999,0
2015-14,3,6,8,16,18,17,18,32,19,999,0
2015-14,6,15,27,31,999,999,999,999,999,999,0
2015-14,9,22,999,999,999,999,999,999,999,999,0
2015-14,12,999,999,999,999,999,999,999,999,80,0
2015-14,15,999,999,999,999,999,999,999,999,999,0
2015-14,18,999,999,999,999,999,999,999,999,84,0
2015-14,21,22,999,999,999,999,999,999,999,83,0
2015-14,25,20,999,999,999,999,999,999,999,83,0
2015-14,30,19,31,66,80,80,82,81,82,81,999
2015-15,0,0,1,6,7,8,10,14,14,999,0
2015-15,3,8,13,21,23,20,22,29,28,999,0
2015-15,6,17,33,999,999,999,999,999,999,999,0
2015-15,9,24,999,999,999,999,999,999,999,77,0
2015-15,12,999,999,999,999,999,999,999,999,82,0
2015-15,15,999,999,999,999,999,999,999,999,999,0
2015-15,18,999,999,999,999,999,999,999,999,999,0
2015-15,21,999,999,999,999,999,999,999,999,83,0
2015-15,25,23,999,999,999,999,999,999,999,83,0
2015-15,30,21,35,74,79,80,80,81,81,81,999
2015-16,0,999,999,6,9,9,10,13,13,999,0
2015-16,3,8,13,21,23,22,24,27,27,999,0
2015-16,6,17,33,999,999,999,999,999,999,999,0
2015-16,9,25,999,999,999,999,999,999,999,76,0
2015-16,12,999,999,999,999,999,999,999,999,82,0
2015-16,15,999,999,999,999,999,999,999,999,85,0
2015-16,18,999,999,999,999,999,999,999,999,83,0
2015-16,21,999,999,999,999,999,999,999,999,83,0
2015-16,25,23,999,999,999,999,999,999,999,83,0
